kind,identifier,name,source,license,url,description,chromosome
Anatomy,UBERON:0000165,mouth,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000165,,
Anatomy,UBERON:0002019,accessory XI nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002019,,
Anatomy,UBERON:0001485,knee joint,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001485,,
Anatomy,UBERON:0002102,forelimb,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002102,,
Anatomy,UBERON:0002349,myocardium,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002349,,
Anatomy,UBERON:0001594,azygos vein,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001594,,
Anatomy,UBERON:0001821,sebaceous gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001821,,
Anatomy,UBERON:0002494,papillary muscle of heart,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002494,,
Anatomy,UBERON:0002046,thyroid gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002046,,
Anatomy,UBERON:0001456,face,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001456,,
Anatomy,UBERON:0002055,zona reticularis of adrenal gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002055,,
Anatomy,UBERON:0000029,lymph node,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000029,,
Anatomy,UBERON:0002016,pulmonary vein,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002016,,
Anatomy,UBERON:0002517,basicranium,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002517,,
Anatomy,UBERON:0001348,brown adipose tissue,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001348,,
Anatomy,UBERON:0002356,perineum,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002356,,
Anatomy,UBERON:0002502,round window of inner ear,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002502,,
Anatomy,UBERON:0002386,forelimb zeugopod,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002386,,
Anatomy,UBERON:0002925,trigeminal nucleus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002925,,
Anatomy,UBERON:0001175,common hepatic duct,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001175,,
Anatomy,UBERON:0002162,area postrema,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002162,,
Anatomy,UBERON:0001733,soft palate,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001733,,
Anatomy,UBERON:0001673,central retinal vein,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001673,,
Anatomy,UBERON:0001846,internal ear,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001846,,
Anatomy,UBERON:0001183,inferior mesenteric artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001183,,
Anatomy,UBERON:0002099,cardiac septum,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002099,,
Anatomy,UBERON:0001644,trochlear nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001644,,
Anatomy,UBERON:0001700,geniculate ganglion,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001700,,
Anatomy,UBERON:0001140,renal vein,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001140,,
Anatomy,UBERON:0001768,uvea,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001768,,
Anatomy,UBERON:0001295,endometrium,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001295,,
Anatomy,UBERON:0002107,liver,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002107,,
Anatomy,UBERON:0001772,corneal epithelium,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001772,,
Anatomy,UBERON:0001283,bile canaliculus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001283,,
Anatomy,UBERON:0002405,immune system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002405,,
Anatomy,UBERON:0000056,ureter,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000056,,
Anatomy,UBERON:0002137,aortic valve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002137,,
Anatomy,UBERON:0001844,cochlea,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001844,,
Anatomy,UBERON:0001184,renal artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001184,,
Anatomy,UBERON:0002673,vestibular nuclear complex,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002673,,
